name,home,away,statisticsType,period,homeTotal,awayTotal
Total shots,5,3,positive,1st,,
Shots on target,2,1,positive,1st,,
Shots off target,2,1,negative,1st,,
Blocked shots,1,1,negative,1st,,
Total shots,6,8,positive,2nd,,
Shots on target,1,1,positive,2nd,,
Shots off target,1,4,negative,2nd,,
Blocked shots,4,3,negative,2nd,,
Corner kicks,1,0,positive,1st,,
Offsides,4,1,negative,1st,,
Yellow cards,0,2,negative,1st,,
Free kicks,14,3,positive,1st,,
Throw-ins,10,5,positive,1st,,
Goal kicks,4,1,positive,1st,,
Corner kicks,2,4,positive,2nd,,
Offsides,0,1,negative,2nd,,
Yellow cards,2,1,negative,2nd,,
Free kicks,4,5,positive,2nd,,
Throw-ins,10,12,positive,2nd,,
Goal kicks,7,1,positive,2nd,,
Big chances,0,0,positive,1st,,
Big chances missed,0,0,negative,1st,,
Shots inside box,3,0,positive,1st,,
Shots outside box,2,3,positive,1st,,
Goalkeeper saves,1,2,positive,1st,,
Big chances,1,0,positive,2nd,,
Big chances missed,1,0,negative,2nd,,
Shots inside box,4,3,positive,2nd,,
Shots outside box,2,5,positive,2nd,,
Goalkeeper saves,1,1,positive,2nd,,
Passes,239,207,positive,1st,,
Accurate passes,208 ,185 ,positive,1st,,
Long balls,15,11,positive,1st,24.0,19.0
Crosses,0,0,positive,1st,5.0,6.0
Passes,164,220,positive,2nd,,
Accurate passes,128 ,184 ,positive,2nd,,
Long balls,6,13,positive,2nd,19.0,24.0
Crosses,1,4,positive,2nd,6.0,14.0
Dribbles,1,2,positive,1st,4.0,6.0
Possession lost,52,49,negative,1st,,
Duels won,36,20,positive,1st,,
Aerials won,9,8,positive,1st,,
Dribbles,8,3,positive,2nd,15.0,7.0
Possession lost,67,74,negative,2nd,,
Duels won,29,32,positive,2nd,,
Aerials won,6,8,positive,2nd,,
Tackles,12,7,,1st,,
Interceptions,1,4,,1st,,
Clearances,3,11,,1st,,
Tackles,11,16,,2nd,,
Interceptions,2,4,,2nd,,
Clearances,16,7,,2nd,,
Red cards,0,0,negative,2nd,,
